Institution;Studieretning;Andel kvinder 2020;Antal studerende i alt;Andel kvinder 2019
Københavns Universitet;Medicin;71;650;71
Københavns Universitet;Folkesundhedsvidenskab;92;76;83
Københavns Universitet;Farmaci;75;250;66
Københavns Universitet;Odontologi;75;112;74
Københavns Universitet;Veterinærmedicin;89;192;89
Københavns Universitet;Sundhed og informatik;73;55;70
Københavns Universitet;Professionsbachelor, tandplejer;94;80;95
Københavns Universitet;Biokemi;75;134;74
Københavns Universitet;Datalogi-økonomi;21;98;25
Københavns Universitet;Datalogi;17;250;16
Københavns Universitet;Forsikringsmatematik;41;80;35
Københavns Universitet;Fysik;29;134;26
Københavns Universitet;Bioteknologi;54;78;56
Københavns Universitet;Husdyrvidenskab;97;68;97
Københavns Universitet;Jordbrugsøkonomi;59;49;24
Københavns Universitet;Landskabsarkitektur;79;70;65
Københavns Universitet;Fødevarer og ernæring;53;100;64
Københavns Universitet;Naturressourcer;66;99;65
Københavns Universitet;Professionsbachelor, skov- og landskabsingeniør, Fredensborg;32;60;37
Københavns Universitet;Professionsbachelor, skov- og landskabsingeniør, Auning;36;44;60
Københavns Universitet;Biologi;70;208;61
Københavns Universitet;Geografi og geoinformatik;58;109;48
Københavns Universitet;Geologi-geoscience;51;49;49
Københavns Universitet;Idræt og fysisk aktivitet;40;134;46
Københavns Universitet;Kemi;38;42;42
Københavns Universitet;Matematik;35;154;26
Københavns Universitet;Matematik-økonomi;27;79;71
Københavns Universitet;Molekylær biomedicin;70;70;46
Københavns Universitet;Nanoscience;59;34;14
Københavns Universitet;Machine learning og datavidenskab;17;98;93
Københavns Universitet;Medicinalkemi;59;44;77
Københavns Universitet;Audiologopædi;91;43;62
Københavns Universitet;Dansk;82;190;80
Københavns Universitet;Engelsk;69;167;68
Københavns Universitet;Grønlandske og arktiske studier;70;10;73
Københavns Universitet;Europæisk etnologi;87;63;39
Københavns Universitet;Film- og medievidenskab;75;80;56
Københavns Universitet;Filosofi;37;67;52
Københavns Universitet;Forhistorisk arkæologi;71;35;100
Københavns Universitet;Fransk sprog og kultur;68;37;42
Københavns Universitet;Græsk, klassisk;70;10;75
Københavns Universitet;Historie;41;169;50
Københavns Universitet;Indianske sprog og kulturer;100;4;48
Københavns Universitet;Italiensk sprog og kultur;65;23;67
Københavns Universitet;Asienstudier (japanstudier);62;34;49
Københavns Universitet;Moderne Indien og Sydasienstudier;56;9;55
Københavns Universitet;Asienstudier (kinastudier);50;34;64
Københavns Universitet;Klassisk arkæologi;88;24;80
Københavns Universitet;Kommunikation og it;71;109;95
Københavns Universitet;Asienstudier (koreastudier);93;28;67
Københavns Universitet;Kunsthistorie;82;60;78
Københavns Universitet;Latin;43;14;74
Københavns Universitet;Litteraturvidenskab;61;69;51
Københavns Universitet;Mellemøstens sprog og samfund (arabisk, hebraisk, persisk, tyrkisk);73;74;60
Københavns Universitet;Musikvidenskab;42;78;67
Københavns Universitet;Mellemøstens sprog og samfund (assyriologi, nærorientalsk arkæologi, ægyptologi);53;17;80
Københavns Universitet;Psykologi;78;250;86
Københavns Universitet;Pædagogik;96;71;75
Københavns Universitet;Religionsvidenskab;75;73;67
